Dioal.01G000300.1	GO:0004672	GO:1904143	GO:0010027	GO:1902326	GO:0080183	GO:0009414	GO:0009767	GO:0015996	GO:0006468	GO:0080177	GO:0010109	GO:0009507	GO:0006995	GO:0005524	GO:0010287	GO:0031540	GO:1901562	GO:0005886	GO:1902171	GO:0010114	GO:0005515	GO:0004674	GO:0009637																													
Dioal.01G000400.1	GO:0022857	GO:0009507	GO:0016887	GO:0006869	GO:0005634	GO:0009536																																														
Dioal.01G000600.1	GO:0005576	GO:0003674	GO:0008150																																																	
Dioal.01G000700.1	GO:0009793	GO:0004359	GO:0005737	GO:0008614	GO:0042819	GO:0036381	GO:0005829	GO:0042823	GO:0046982	GO:1903600																																										
Dioal.01G000800.1	GO:0009892	GO:0004672	GO:0009507	GO:0022857	GO:0009416																																															
Dioal.01G000900.1	GO:0009534	GO:0009507	GO:0009535	GO:0009941	GO:0009768	GO:0010287	GO:0009416	GO:0005515	GO:0009644	GO:0003729	GO:0009409	GO:0009765	GO:0009579	GO:0016168	GO:0009645																																					
Dioal.01G001000.1	GO:0004674	GO:0005737	GO:0006468	GO:0009615	GO:0005515	GO:0016301	GO:0004672	GO:0035556	GO:0005634																																											
Dioal.01G001100.1	GO:0005737	GO:0008150	GO:0008270																																																	
Dioal.01G001200.1	GO:0005634	GO:0009570	GO:0005506	GO:0009941	GO:0051539	GO:0009862	GO:0009507	GO:0019288	GO:0046429	GO:0009617	GO:0016114	GO:0009536																																								
Dioal.01G001300.1	GO:0042803	GO:0031087	GO:0000184	GO:0009791	GO:0000932	GO:0006402	GO:0005515	GO:0019048	GO:0003729	GO:0010072	GO:0005634	GO:0000290	GO:0050072	GO:0005737	GO:0016441	GO:0030145	GO:0000287																																			
Dioal.01G001400.1	GO:0005634	GO:0009855	GO:0009956	GO:0000976	GO:0005515	GO:0010051	GO:0030154	GO:0010089	GO:0009944	GO:0008289	GO:0010014	GO:0003700																																								
Dioal.01G001500.1	GO:0005886	GO:0003674	GO:0016020	GO:0008150																																																
Dioal.01G001600.1	GO:0031386	GO:0005737	GO:0005829	GO:0005634	GO:0008380	GO:0000398	GO:0006464	GO:0005515																																												
Dioal.01G001700.1	GO:0008080	GO:0009507	GO:0006474	GO:0005739	GO:0005634																																															
Dioal.01G001800.1	GO:0005515	GO:0000976	GO:0045893	GO:0030154	GO:0007623	GO:0005634	GO:0009845	GO:0008270	GO:0003700																																											
Dioal.01G001900.1	GO:0009414	GO:0071482	GO:0008289	GO:0005634	GO:0044281	GO:0007165	GO:0035091	GO:0009056	GO:0009416																																											
